GP,Date,Time,Location,Opponent,GF,GA,Outcome,Overtime,W,L,OL,Streak,Att.,Length,Notes
59,2023-02-26,7:00 PM,Home,Toronto Maple Leafs,1,5,L,REG,32,21,6,L 3,17151,136,
60,2023-02-28,8:00 PM,Away,St. Louis Blues,5,3,W,REG,33,21,6,W 1,18096,143,
61,2023-03-02,7:00 PM,Away,Detroit Red Wings,5,4,W,OT,34,21,6,W 2,19289,156,
62,2023-03-03,7:00 PM,Away,Columbus Blue Jackets,4,2,W,REG,35,21,6,W 3,18712,147,
63,2023-03-05,9:00 PM,Away,Colorado Avalanche,3,2,W,OT,36,21,6,W 4,18107,148,
64,2023-03-07,10:00 PM,Home,Anaheim Ducks,5,2,W,REG,37,21,6,W 5,17151,146,
65,2023-03-09,10:00 PM,Home,Ottawa Senators,4,5,L,REG,37,22,6,L 1,17151,154,
66,2023-03-11,10:00 PM,Home,Dallas Stars,3,4,L,OT,37,22,7,L 2,17151,148,
67,2023-03-13,10:00 PM,Home,Dallas Stars,2,5,L,REG,37,23,7,L 3,17151,147,
68,2023-03-16,10:30 PM,Away,San Jose Sharks,2,1,W,OT,38,23,7,W 1,11720,141,
69,2023-03-18,4:00 PM,Home,Edmonton Oilers,4,6,L,REG,38,24,7,L 1,17171,153,
70,2023-03-21,8:30 PM,Away,Dallas Stars,5,4,W,OT,39,24,7,W 1,18532,150,
71,2023-03-23,8:00 PM,Away,Nashville Predators,1,2,L,SO,39,24,8,L 1,17436,145,
72,2023-03-25,2:00 PM,Away,Nashville Predators,7,2,W,REG,40,24,8,W 1,17335,144,
73,2023-03-27,8:00 PM,Away,Minnesota Wild,1,5,L,REG,40,25,8,L 1,19291,148,
74,2023-03-30,10:00 PM,Home,Anaheim Ducks,4,1,W,REG,41,25,8,W 1,17151,138,
75,2023-04-01,10:00 PM,Home,Los Angeles Kings,1,3,L,REG,41,26,8,L 1,17151,148,
76,2023-04-03,10:00 PM,Home,Arizona Coyotes,8,1,W,REG,42,26,8,W 1,17151,153,
77,2023-04-04,10:00 PM,Away,Vancouver Canucks,5,2,W,REG,43,26,8,W 2,18722,141,
78,2023-04-06,10:30 PM,Home,Arizona Coyotes,4,2,W,REG,44,26,8,W 3,17151,157,
79,2023-04-08,10:00 PM,Home,Chicago Blackhawks,7,3,W,REG,45,26,8,W 4,17151,149,
80,2023-04-10,10:00 PM,Away,Arizona Coyotes,4,1,W,REG,46,26,8,W 5,4600,140,
81,2023-04-11,10:00 PM,Away,Vegas Golden Knights,1,4,L,REG,46,27,8,L 1,18377,145,
82,2023-04-13,10:30 PM,Home,Vegas Golden Knights,1,3,L,REG,46,28,8,L 2,17151,152,
